Epoch,Total Steps,Avg Training Loss,Avg Validation Loss,Time per Epoch (seconds),Generated Sentence,Resource
1,1013,6.382718310069002,6.594808519767423,6780.549371242523,"I will guard everything within the limits of my post and quit my post only when properly relieved, the the command of the the command of the command of the command of the command of the command of the left hand. the command of the command of the command of the command of the command the command of the command the command of","ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf"
1,1013,6.4906296835953015,6.700830259933848,5967.73862695694,I will guard everything within the limits of my post and quit my post only when properly relieved  On the command of the command of the command of the command of the command of the command of the left hand.  On the command of the command of the command of the command of the command of the command of,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf"
1,1013,6.4906296835953015,6.700830259933848,5176.7115597724915,I will guard everything within the limits of my post and quit my post only when properly relieved  On the command of the command of the command of the command of the command of the command of the left hand.  On the command of the command of the command of the command of the command of the command of,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf"
1,1013,6.4906296835953015,6.700830259933848,5182.808132410049,I will guard everything within the limits of my post and quit my post only when properly relieved  On the command of the command of the command of the command of the command of the command of the left hand.  On the command of the command of the command of the command of the command of the command of,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf"
1,523,7.06394728009605,6.394034190404983,2674.8665058612823,I will guard everything within the limits of my post and quit my post only when properly relieved. (cid:122) FM 6-22 4-22 4-22 4-22 4- (cid:122) (cid:122) FM 6-22 4-22 4-22 4-22,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf"
1,523,7.063797936156877,6.3938566389538,97.35933446884155,I will guard everything within the limits of my post and quit my post only when properly relieved. (cid:122) (cid:122) FM 6-22 4-22. (cid:122) FM 6-22 4-22 4-22 4-22) FM 6-22 4-,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf"
2,523,5.825678477551696,5.733011093593779,95.99453163146973,I will guard everything within the limits of my post and quit my post only when properly relieved (cid:122) (cid:122) (cid:122) FM 6-22 (cid:122) FM 6-22 (cid:122) FM 6-22 (see table 4-,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf"
3,523,5.2357400712729865,5.355578648816248,95.28711915016174,I will guard everything within the limits of my post and quit my post only when properly relieved (cid:122) (cid:122) (cid:122) (cid:122) (cid:122) (cid:122) (cid:122) ,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf"
4,523,4.748255904728322,5.081226996419538,95.10523068904877,I will guard everything within the limits of my post and quit my post only when properly relieved (cid:122) Identify the Army’s (cid:122) (cid:122) Identify the Army’s (cid:122) (cid:122) Ident,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf"
5,523,4.277134730756624,4.869367439933762,94.91003818511963,"I will guard everything within the limits of my post and quit my post only when properly relieved, theenemy’s theenemy’s theenemy’says: ""Ifallies, and tobeginhisown inordertheenemy’says: ""The theenemy","ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf"
6,523,3.8009969887268475,4.709131453826928,94.85357264677684,"I will guard everything within the limits of my post and quit my post only when properly relieved to of the enemy’s own right hand is not to the enemy’s oftheenemy, inhisarmyinordertheseemaysthat bytheenemy,andtheenemy,andtheenemy","ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf"
7,523,3.2805311445068446,4.587287730442063,94.81208753585815,"I will guard everything within the limits of my post and quit my post only when properly relieved, theenemy, and the right to the right to the The flag of the right hand and the right the enemy’s right to the right hand and The flag is The flag is to the right thing in the flag","ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf"
8,523,2.7393651355065076,4.503043252792267,94.67360004782677,"I will guard everything within the limits of my post and quit my post only when properly relieved, sto Updates, and a strong position of theenemy’s right thing, commission, and in the right, and in the enemy are not to the enemy, andthe first. The otherwise is a","ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf"
9,523,2.199347674276815,4.446886580714248,94.68474796083238,"I will guard everything within the limits of my post and quit my post only when properly relieved, and theenemyisaratheroftheenemy’s. In the army is called his whole army his men are Thepreviouslythepies. [Tu Mu says: ""Themeaning and the enemy to the enemy are","ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf"
