OS Name,Date Time,CPU Temp,Wi-Fi -dBm,CPU Usage,Memory Usage,Disk Usage,Net Traffic Rx,Net Traffic Tx
"Raspbian GNU/Linux 10 (buster)",2024-01-04 12:18:26,41.69,-58,8.55551,-40.4651,16%,18864798,574578
"Raspbian GNU/Linux 10 (buster)",2024-01-04 19:16:25,40.08,-59,4.73368,-48.6047,16%,41219731,950244
"Raspbian GNU/Linux 10 (buster)",2024-01-04 19:18:27,43.31,-60,4.90208,-49.5349,16%,41347179,956418

"Raspbian GNU/Linux 10 (buster)",2024-01-05 06:43:31,39.00,-59,1.29571,-29.0698,16%,38204817,439134
"Raspbian GNU/Linux 10 (buster)",2024-01-05 12:33:41,40.08,-60,71.6075,-25.814,16%,323046,32689
"Raspbian GNU/Linux 10 (buster)",2024-01-05 18:15:04,39.00,-59,1.66216,-26.9767,16%,16459542,216744

"Raspbian GNU/Linux 10 (buster)",2024-01-06 06:02:09,33.62,-55,1.08107,-41.3953,16%,24825743,428453
"Raspbian GNU/Linux 10 (buster)",2024-01-06 12:07:22,33.62,-58,1.06898,-47.2093,16%,44043020,586298
"Raspbian GNU/Linux 10 (buster)",2024-01-06 18:03:06,32.55,-55,0.991295,-46.0465,16%,64729682,680935

"Raspbian GNU/Linux 10 (buster)",2024-01-07 06:09:24,32.01,-52,0.884509,-46.0465,16%,105618913,852085
"Raspbian GNU/Linux 10 (buster)",2024-01-07 12:17:55,33.62,-54,0.877698,-44.8837,16%,112654094,1136393
"Raspbian GNU/Linux 10 (buster)",2024-01-07 18:25:07,33.62,-54,0.864933,-44.4186,16%,134476689,1301994

"Raspbian GNU/Linux 10 (buster)",2024-01-08 06:03:52,32.01,-57,0.832925,-45.3488,16%,161278292,1558812
"Raspbian GNU/Linux 10 (buster)",2024-01-08 13:09:26,34.16,-61,0.815746,-44.8837,16%,183083702,1731854
"Raspbian GNU/Linux 10 (buster)",2024-01-08 18:08:02,37.93,-55,0.804191,-44.6512,16%,185956712,1913865

"Raspbian GNU/Linux 10 (buster)",2024-01-09 06:09:46,39.00,-60,82.6598,-26.7442,16%,232208,30434
"Raspbian GNU/Linux 10 (buster)",2024-01-09 13:48:41,34.16,-61,0.897513,-27.907,16%,36289161,228857
"Raspbian GNU/Linux 10 (buster)",2024-01-09 18:05:40,35.78,-58,0.792362,-27.6744,16%,44996173,378137

"Raspbian GNU/Linux 10 (buster)",2024-01-10 06:05:03,31.47,-59,0.607149,-28.1395,16%,49492003,557183
"Raspbian GNU/Linux 10 (buster)",2024-01-10 12:04:20,31.47,-66,0.596254,-27.2093,16%,51490519,687199
"Raspbian GNU/Linux 10 (buster)",2024-01-10 17:59:27,31.47,-61,0.578542,-27.2093,16%,54731089,837599

"Raspbian GNU/Linux 10 (buster)",2024-01-11 06:00:28,35.78,-69,0.600262,-29.3023,16%,108272963,1067066
"Raspbian GNU/Linux 10 (buster)",2024-01-11 18:28:01,34.70,-60,0.589124,-28.1395,16%,151469581,1397072
"Raspbian GNU/Linux 10 (buster)",2024-01-11 18:28:15,34.70,-64,0.589534,-28.1395,16%,151486425,1397710

"Raspbian GNU/Linux 10 (buster)",2024-01-12 06:01:32,33.62,-61,0.582037,-28.1395,16%,218737247,1616320
"Raspbian GNU/Linux 10 (buster)",2024-01-12 13:36:07,34.16,-55,0.584214,-27.2093,16%,234772546,1836525
"Raspbian GNU/Linux 10 (buster)",2024-01-12 18:48:48,28.78,-57,0.581695,-26.7442,16%,249961702,1912649

